CERT,GRADING COMPANY,Item Name,Pop,CL,MP,LS,List,LV,Note,Days on Shelf,Status,Listed Date,Last Alert,Cost Basis,Location,Intake Date
152506398,PSA,PSA 10 Mega Dream EX mega Eelektross SAR 235 Japanese,854,52.5,42.92,52.5,55,,"52, 20, 45, 42, 55; JP $50",,IN_STOCK,,,,warehouse,
152506400,PSA,PSA 10 Pfl En-phantasmal Flames Meowth IR 106,7014,221.5,225,225,224,,"225, 225, 225, 215, 235",,IN_STOCK,,,,warehouse,
130287695,PSA,PSA 10 Sword & Shield Evolving Skies Glaceon 209,10509,629,626.8,629,620,,"629, 650, 645, 600, 610",,IN_STOCK,,,,warehouse,
127279926,PSA,PSA 9 Miracle Twins M.sbleye 102 Japanese,851,220,185,220,,,"220, 175, 160, 52, 135",,IN_STOCK,,,,warehouse,
102081453,PSA,PSA 10 Sword And Shield Crown Zenith Suicune GG38,14894,265,250.16,259.99,,,"260, 270, 248, 207, 266",,IN_STOCK,,,,warehouse,
147884088,PSA,PSA 10 Enel OP05-100 Special Alternate ART Japanese,1537,,204.3,162.5,250,,"162, 342, 161, 154, 202",,IN_STOCK,,,,warehouse,
147884104,PSA,PSA 10 Shirahoshi OP11-057 Special Alternate ART,1179,,178.94,198.5,250,,"198, 142, 152, 202, 200",,IN_STOCK,,,,warehouse,
147884103,PSA,PSA 10 Two OP11-080 Alternate ART,3587,,403.6,375,495,,"375, 416, 416, 401, 410",,IN_STOCK,,,,warehouse,
147884102,PSA,PSA 10 Guild PRB02-057 Alternate ART,708,,491,475,549.99,,"475, 500, 495, 490, 495",,IN_STOCK,,,,warehouse,
147884090,PSA,PSA 10 Robin OP09-107 Alternate ART Japanese,301,,66,66,65,,"66, 125, 74, 125, 104",,IN_STOCK,,,,warehouse,
154165889,PSA,PSA 10 Reiju EB03-031 Special Alternate ART POP 98,98,,470,470,320,549.99,"470, 550, 425, 430, 470; rare pop 98",22,EBAY LISTED,2026-04-22,,,warehouse,
151349354,PSA,PSA 10 Luffy OP13-119 Special Alternate ART Japanese,781,,225.08,222.5,520,299.99,"222, 218, 236, 223, 206; JP $401",22,EBAY LISTED,2026-04-22,,,warehouse,
147884101506,PSA,,,,,,,,,,,,,,,
147884113,PSA,PSA 10 Sanji OP12-070 Alternate ART POP 133,133,,62.8,64,69.99,,"64, 67, 70, 60, 53",,IN_STOCK,,,,warehouse,
147884095,PSA,PSA 10 Luffy #014 ONE PIECE MAGAZINE VOL.20 Japanese,27540,,221.19,218,299.99,,"218, 220, 218, 220, 230",,IN_STOCK,,,,warehouse,
147884094,PSA,PSA 10 Luffy #014 ONE PIECE MAGAZINE VOL.20 Japanese,27540,,221.19,218,299.99,,"218, 220, 218, 220, 230",,IN_STOCK,,,,warehouse,
147884097,PSA,PSA 10 Luffy OP13-001 Alternate ART Japanese,618,,103.08,100,,,"100, 143, 66, 69, 56; SNKR wrong-card (no-photo)",,IN_STOCK,,,,warehouse,
147884096,PSA,PSA 10 Game OP12-037 Alternate ART Japanese,1123,,245,232.5,,,"232, 242, 270, 242, 238",,IN_STOCK,,,,warehouse,
147884101,PSA,PSA 10 Luffy OP13-118 Alternate ART,2362,,245.3,250,99,,"250, 300, 236, 208, 232",,IN_STOCK,,,,warehouse,
147884100,PSA,PSA 10 Rayleigh OP11-005 Special Alternate ART,832,,171.2,191.5,174.99,,"192, 174, 162, 144, 185",,IN_STOCK,,,,warehouse,
147884099,PSA,PSA 10 Roger OP13-118 Wanted Alternate ART,992,,332.03,260,199.99,,"260, 355, 354, 350, 342",,IN_STOCK,,,,warehouse,
153595249,PSA,PSA 10 Sv-p Promo Espeon 066 Japanese,19738,220,223.9,220,255,,"220, 206, 214, 249, 230; JP $152",,IN_STOCK,,,,warehouse,
153595243,PSA,PSA 10 Inferno X mega Charizard SAR 110 Japanese,37548,1370,1310.6,1399,1395,,"1399, 1255, 1400, 1299, 1200; JP $1182",,IN_STOCK,,,,warehouse,
153595250,PSA,PSA 10 Sv-p Promo Jolteon 064 Japanese,19602,192.9,200.5,200,219,,"200, 200, 218, 200, 185; JP $161",,IN_STOCK,,,,warehouse,
153595251,PSA,PSA 10 Sv-p Promo Leafeon 068 Japanese,20688,225.77,178.77,181.95,206,,"182, 188, 162, 180, 181; JP $144",,IN_STOCK,,,,warehouse,
153595259,PSA,PSA 10 Terastal Fest EX Leafeon SAR 200 Japanese,34956,185.65,148.33,156.15,149,,"156, 150, 145, 146, 145; JP $118",,IN_STOCK,,,,warehouse,
153595254,PSA,PSA 10 VMAX Climax Pikachu 222 Japanese,6742,500,385.48,450,,,"450, 380, 422, 335, 340; JP $577",,IN_STOCK,,,,warehouse,
153595255,PSA,PSA 10 VSTAR Universe Charizard 211 Japanese,19592,155,170.99,155,,,"155, 180, 160, 160, 200; JP $171",,IN_STOCK,,,,warehouse,
153595258,PSA,PSA 10 VMAX Climax Charizard 187 Japanese,15112,99.99,99.28,99.99,129.99,,"100, 99, 95, 92, 110; JP $88",,IN_STOCK,,,,warehouse,
153595257,PSA,PSA 10 VMAX Climax Rayquaza UR 284 Japanese,2396,445,413.75,445,499.89,,"445, 450, 360, 400, 425; JP $510",,IN_STOCK,,,,warehouse,
153595269,PSA,PSA 10 Mep En-me Black Star Promo Oricorio 024,15051,140,135.14,132.9,144,,"133, 132, 138, 135, 137",,IN_STOCK,,,,warehouse,
153595240,PSA,PSA 10 Mega Brave mega Absol SAR 089 Japanese,3826,69.9,78.56,69.9,75,,"70, 100, 70, 68, 85; JP $68",,IN_STOCK,,,,warehouse,
153595267,,PSA 10 Sun & Moon Hidden Fates Giovanni's 67,4792,40.99,41.7,40.99,49.75,,"41, 40, 40, 47, 40",,IN_STOCK,,,,warehouse,
153595265,,PSA 10 Sword & Shield Silver Tempest Rayquaza TG29,9614,164.99,152.9,150,159.99,,"150, 150, 152, 162, 150",,IN_STOCK,,,,warehouse,
153595235,,PSA 10 Mep En-me Black Star Promo mega Charizard 023,24803,330,325,330,325,,"330, 340, 335, 315, 305",,IN_STOCK,,,,warehouse,
